Classe;CODIGO;NOME;NOME_ABREV;Pes;Tipo
Atraso;21051;Atraso entre 15 e 90 dias - Pessoas físicas - Desconto de cheques;ATR_PF_DESCHEQUES;PF;Livre
Atraso;21052;Atraso entre 15 e 90 dias - Pessoas físicas - Outros créditos livres;ATR_PF_OUTROSLIVRES;PF;Livre
Atraso;21053;Atraso entre 15 e 90 dias - Direcionado - Total;ATR_RL_TOTAL;TT;Direcionado
Atraso;21054;Atraso entre 15 e 90 dias - Pessoas jurídicas - Recurso Direcionado - Total;ATR_PJ_RD_TOTAL;PJ;Direcionado
Atraso;21055;Atraso entre 15 e 90 dias - Pessoas jurídicas - Crédito rural com taxas de mercado;ATR_PJ_CRDRURMERCADO;PJ;Direcionado
Atraso;21056;Atraso entre 15 e 90 dias - Pessoas jurídicas - Crédito rural com taxas reguladas;ATR_PJ_CRDRURREGULADAS;PJ;Direcionado
Atraso;21057;Atraso entre 15 e 90 dias - Pessoas jurídicas - Crédito rural total;ATR_PJ_CRDRUR_TOTAL;PJ;Direcionado
Atraso;21058;Atraso entre 15 e 90 dias - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado;ATR_PJ_FINIMOBMERCADO;PJ;Direcionado
Atraso;21059;Atraso entre 15 e 90 dias - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas;ATR_PJ_FINIMOBREGULADAS;PJ;Direcionado
Atraso;21060;Atraso entre 15 e 90 dias - Pessoas jurídicas - Financiamento imobiliário total;ATR_PJ_FINIMOB_TOTAL;PJ;Direcionado
Atraso;21061;Atraso entre 15 e 90 dias - Pessoas jurídicas - Capital de giro com recursos do BNDES;ATR_PJ_CAPGIR_BNDES;PJ;Direcionado
Atraso;21062;Atraso entre 15 e 90 dias - Pessoas jurídicas - Financiamento de investimentos com recursos do BNDES;ATR_PJ_FININVRECBNDES;PJ;Direcionado
Atraso;21063;Atraso entre 15 e 90 dias - Pessoas jurídicas - Financiamento agroindustrial com recursos do BNDES;ATR_PJ_FINAGRRECBNDES;PJ;Direcionado
Atraso;21064;Atraso entre 15 e 90 dias - Pessoas jurídicas - Financiamento com recursos do BNDES total;ATR_PJ_FINBNDESTT;PJ;Direcionado
Atraso;21065;Atraso entre 15 e 90 dias - Pessoas jurídicas - Outros créditos direcionados;ATR_PJ_OUTROSDIRECIONADOS;PJ;Direcionado
Atraso;21066;Atraso entre 15 e 90 dias - Pessoas físicas - Recurso Direcionado - Total;ATR_PF_RD_TOTAL;PF;Direcionado
Atraso;21067;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito rural com taxas de mercado;ATR_PF_CRDRURMERCADO;PF;Direcionado
Atraso;21068;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito rural com taxas reguladas;ATR_PF_CRDRURREGULADAS;PF;Direcionado
Atraso;21069;Atraso entre 15 e 90 dias - Pessoas físicas - Crédito rural total;ATR_PF_CRDRUR_TOTAL;PF;Total
Atraso;21070;Atraso entre 15 e 90 dias - Pessoas físicas - Financiamento imobiliário com taxas de mercado;ATR_PF_FINIMOBMERCADO;PF;Direcionado
Atraso;21071;Atraso entre 15 e 90 dias - Pessoas físicas - Financiamento imobiliário com taxas reguladas;ATR_PF_FINIMOBREGULADAS;PF;Direcionado
Atraso;21072;Atraso entre 15 e 90 dias - Pessoas físicas - Financiamento imobiliário total;ATR_PF_FINIMOB_TOTAL;PF;Direcionado
Atraso;21073;Atraso entre 15 e 90 dias - Pessoas físicas - Capital de giro com recursos do BNDES;ATR_PF_CAPGIR_BNDES;PF;Direcionado
Atraso;21074;Atraso entre 15 e 90 dias - Pessoas físicas - Financiamento de investimentos com recursos do BNDES;ATR_PF_FININVRECBNDES;PF;Direcionado
Atraso;21075;Atraso entre 15 e 90 dias - Pessoas físicas - Financiamento agroindustrial com recursos do BNDES;ATR_PF_FINAGRRECBNDES;PF;Direcionado
Atraso;21076;Atraso entre 15 e 90 dias - Pessoas físicas - Financiamento com recursos do BNDES total;ATR_PF_FINBNDESTT;PF;Direcionado
Atraso;21077;Atraso entre 15 e 90 dias - Pessoas físicas - Microcrédito destinado a consumo;ATR_PF_MICCONSUMO;PF;Direcionado
Atraso;21078;Atraso entre 15 e 90 dias - Pessoas físicas - Microcrédito destinado a microempreendedores;ATR_PF_MICMICROEMPREENDEDOR;PF;Direcionado
Atraso;21080;Atraso entre 15 e 90 dias - Pessoas físicas - Microcrédito total;ATR_PF_MICTT;PF;Direcionado
Atraso;21081;Atraso entre 15 e 90 dias - Pessoas físicas - Outros créditos direcionados;ATR_PF_OUTROSDIRECIONADOS;PF;Direcionado
Saldo;20598;Saldo - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado;SALDO_PJ_FINIMOBMERCADO;PJ;Direcionado
Saldo;20595;Saldo - Pessoas jurídicas - Crédito rural com taxas de mercado;SALDO_PJ_CRDRURMERCADO;PJ;Direcionado
Saldo;20596;Saldo - Pessoas jurídicas - Crédito rural com taxas reguladas;SALDO_PJ_CRDRURREGULADAS;PJ;Direcionado
